Sancta Maria;Sainte Marie
Sancta Dei Genetrix;Sainte Mère de Dieu
Sancta Virgo virginum;Sainte Vierge des vierges
Mater Christi;Mère du Christ
Mater divinae gratiae;Mère de la divine grâce
Mater purissima;Mère très pure
Mater castissima;Mère très chaste
Mater inviolata;Mère sans tache
Mater intemerata;Mère sans corruption
Mater amabilis;Mère aimable
Mater admirabilis;Mère admirable
Mater boni consilii;Mère du bon conseil
Mater Creatoris;Mère du Créateur
Mater Salvatoris;Mère du Sauveur
Virgo prudentissima;Vierge très prudente
Virgo veneranda;Vierge vénérable
Virgo praedicanda;Vierge célèbre
Virgo potens;Vierge puissante
Virgo clemens;Vierge clémente
Virgo fidelis;Vierge fidèle
Speculum justitiae;Miroir de justice
Sedes sapientiae;Trône de la sagesse
Causa nostrae laetitiae;Cause de notre joie
Vas spirituale;Vase spirituel
Vas honorabile;Vase d’honneur
Vas insigne devotionis;Vase insigne de la dévotion
Rosa mystica;Rose mystique
Turris Davidica;Tour de David
Turris eburnea;Tour d’ivoire
Domus aurea;Maison d’or
Foederis arca;Arche d’alliance
Janua Caeli;Porte du Ciel
Stella matutina;Étoile du matin
Salus infirmorum;Salut des infirmes
Refugium peccatorum;Refuge des pécheurs
Consolatrix afflictorum;Consolatrice des affligés
Auxilium Christianorum;Secours des Chrétiens
Regina angelorum;Reine des anges
Regina patriarcharum;Reine des patriarches
Regina prophetarum;Reine des prophètes
Regina apostolorum;Reine des apôtres
Regina martyrum;Reine des martyrs
Regina confessorum;Reine des confesseurs
Regina virginum;Reine des vierges
Regina sanctorum omnium;Reine de tous les saints
Regina sine labe originali concepta;Reine conçue sans le péché originel
Regina in caelum assumpta;Reine élevée au ciel
Regina sacratissimi Rosarii;Reine du très saint Rosaire
Regina pacis;Reine de la paix
